term,estimate,std.error,statistic,p.value
(Intercept),10.18714618029019,0.10750730626364835,94.75771028349902,0
catch_log,0.2417826792607402,0.015393924264953042,15.70637058486774,1.612135738375954e-46
statweek27,-0.6681186186774365,0.10121450814328033,-6.601016306196348,9.291822423612175e-11
statweek28,-0.8795205414580387,0.1075668696238555,-8.176500297290275,1.875758701816814e-15
statweek29,-0.9897567792267036,0.11138195119979252,-8.886150480981584,8.100295434601631e-18
statweek30,-1.0506515741119333,0.1136204579897933,-9.247028155847735,4.472778103123631e-19
statweek31,-1.0878651128645824,0.11503132907619738,-9.457120261072308,7.974177057607683e-20
statweek32,-1.1118236642726353,0.11595620096553019,-9.588307093668432,2.679220873129021e-20
statweek33,-1.1198127019924746,0.11626741547542292,-9.631354558054877,1.8688535444797893e-20
statweek34,-1.1227270034719488,0.11638128887841692,-9.646971727945523,1.63946192232915e-20
statweek35,-1.1243879241219754,0.11644627013480154,-9.655851774559647,1.521715825157464e-20
statweek36,-1.1251073524476032,0.11647443533492204,-9.659693556035355,1.473410614261805e-20
statweek37,-1.125389097764884,0.11648546855243166,-9.661197330020022,1.4549194259586215e-20
statweek38,-1.1254355538468919,0.1164872879492211,-9.661445241454066,1.451893146631916e-20
statweek39,-1.1254475477008732,0.11648775768172401,-9.661509244395447,1.4511128704515232e-20
statweek40,-1.125448693404279,0.11648780255271236,-9.66151535818523,1.4510383574367296e-20
statweek41,-1.1254491054911155,0.11648781869192558,-9.66151755719267,1.4510115575288063e-20
