term,estimate,std.error,statistic,p.value
(Intercept),9.647035854956135,0.10632830253715858,90.72876764476497,0
cpue_log,0.5263474781298982,0.02484171527905165,21.18804890150854,4.481158355670645e-74
statweek27,-0.7371275268548382,0.08932632195335943,-8.252075208466769,1.0676257463387772e-15
statweek28,-1.0605575387092885,0.09630325908285532,-11.012685851024303,1.0050327141147021e-25
statweek29,-1.2494687245844565,0.10122438828554131,-12.343554214028558,3.232467656401493e-31
statweek30,-1.3714843072519398,0.1046839310975241,-13.10119225437052,1.6729752294323581e-34
statweek31,-1.4467869283319625,0.10691797331526824,-13.531746660272287,2.0412162913398213e-36
statweek32,-1.5031977097322953,0.10863762555249572,-13.836805637894969,8.612451763083518e-38
statweek33,-1.5288043585883884,0.1094306886461435,-13.970526709668711,2.1269507131421785e-38
statweek34,-1.5424688576229821,0.10985698930579116,-14.040698433209931,1.0183642761297206e-38
statweek35,-1.5481696937399652,0.11003547133774248,-14.069732922650175,7.504715973489362e-39
statweek36,-1.5507245196582713,0.11011557739791683,-14.082698890589551,6.547726272117941e-39
statweek37,-1.5525182197940077,0.11017186255984943,-14.091785177459649,5.950564704012651e-39
statweek38,-1.5529020462475696,0.11018391150196515,-14.093727705608575,5.83011954446539e-39
statweek39,-1.5530640564683025,0.11018899776700616,-14.094547440682282,5.780024431034286e-39
statweek40,-1.5530969231892136,0.1101900296445028,-14.0947137250062,5.7699150379379655e-39
statweek41,-1.5530969231892138,0.11019002964450277,-14.094713725006205,5.7699150379377175e-39
