term,estimate,std.error,statistic,p.value
(Intercept),8.407691366405414,0.1282604968186649,65.55168251291148,5.4595699744578217e-269
catchtah_log,0.42892378005246545,0.018150902647324718,23.630988958870596,8.741556153592513e-87
statweek27,-1.1516090425154706,0.13051887004465637,-8.823314530086366,1.3297884612509287e-17
statweek28,-1.5067207029389806,0.13684171605198064,-11.010682607682574,1.0236603909408811e-25
statweek29,-1.6696906705085888,0.1401879343749725,-11.910373584951513,2.1795255355703128e-29
statweek30,-1.7319137395222808,0.14153333554750688,-12.236790243249436,9.199763382692033e-31
statweek31,-1.7574525555171199,0.14209597789004708,-12.368066863067897,2.540531331309306e-31
statweek32,-1.7682652326818196,0.14233599299712327,-12.423176987408644,1.4767562108338533e-31
statweek33,-1.7723457961245535,0.14242684850070117,-12.443902359573926,1.2037805256993114e-31
statweek34,-1.7735830546347717,0.14245442650074697,-12.450178616425596,1.131491409534891e-31
statweek35,-1.7739724438861528,0.14246310870871276,-12.452153122064086,1.1096555889255522e-31
statweek36,-1.7740513441621335,0.14246486811506798,-12.452553163698179,1.1052829446148545e-31
statweek37,-1.7740623574607632,0.14246511370637996,-12.452609002349156,1.1046739674180286e-31
statweek38,-1.7740623574607615,0.1424651137063799,-12.45260900234915,1.1046739674181396e-31
statweek39,-1.774062357460763,0.14246511370638,-12.452609002349153,1.1046739674180923e-31
statweek40,-1.7740623574607615,0.14246511370637988,-12.452609002349151,1.1046739674181078e-31
statweek41,-1.7740628560822735,0.14246512482542814,-12.452611530408927,1.1046464042631908e-31
