term,estimate,std.error,statistic,p.value
(Intercept),8.299963101396134,0.1154418638009713,71.89734146795975,1.479596385541387e-289
cpuetah_log,0.7261420632628803,0.02603331624089103,27.892799232481764,6.268281631752496e-109
statweek27,-1.0031567179597045,0.11650949616250353,-8.610085452266786,7.0126582785765e-17
statweek28,-1.4273919909485637,0.12206474292376661,-11.693728727549251,1.732005970223484e-28
statweek29,-1.6449582698520389,0.12553473421280514,-13.103610567761454,1.6324189633987395e-34
statweek30,-1.741298684858073,0.1271938999503478,-13.69011159763021,3.963837819527714e-37
statweek31,-1.784102984144029,0.12795408557417765,-13.943306117488115,2.8289487416826863e-38
statweek32,-1.80583148150372,0.12834527264620652,-14.070105148957309,7.475390041745113e-39
statweek33,-1.8145611886344748,0.12850343159511593,-14.12072165007803,4.3874078314695894e-39
statweek34,-1.8185289399694822,0.12857550415093952,-14.143665638165759,3.444884546560229e-39
statweek35,-1.819228660882337,0.12858822642339027,-14.147707853846082,3.301123525093653e-39
statweek36,-1.8193868380040903,0.12859110289156025,-14.148621460524863,3.269468908898317e-39
statweek37,-1.8194165678786987,0.12859164355330124,-14.148793168854322,3.2635534301688613e-39
statweek38,-1.8194165678786969,0.12859164355330113,-14.148793168854322,3.2635534301688613e-39
statweek39,-1.8194165678786993,0.12859164355330124,-14.148793168854327,3.263553430168674e-39
statweek40,-1.8194165678786967,0.1285916435533011,-14.148793168854322,3.2635534301688613e-39
statweek41,-1.8194165678786967,0.12859164355330116,-14.148793168854317,3.263553430169049e-39
