term,estimate,std.error,statistic,p.value
(Intercept),6.885157601526383,0.15614940737193245,44.093395661288795,1.545112788024177e-141
catchtuya_log,0.569697517892792,0.023439506970515035,24.305012840475886,6.230239450793792e-76
statweek27,-1.4042689278188123,0.15177428882480673,-9.252350570654045,2.665265303401444e-18
statweek28,-1.800162213032819,0.15869138446088166,-11.343792979993626,1.8506505079862725e-25
statweek29,-1.9568694903729467,0.16180112696028645,-12.094288384364923,3.462693987398287e-28
statweek30,-2.0240594750385523,0.1631943477508339,-12.4027547702136,2.5044075301633152e-29
statweek31,-2.044338005415794,0.16362167914400186,-12.494297920122136,1.143352237792807e-29
statweek32,-2.050613188650434,0.16375455200530953,-12.522480526733363,8.977752678739789e-30
statweek33,-2.0531176473982584,0.16380766578864533,-12.533709198001247,8.152764960749848e-30
statweek34,-2.0536033977123824,0.1638179729411888,-12.535885781285018,8.001818026347548e-30
statweek35,-2.0538405648992413,0.16382300605006045,-12.536948346996123,7.929143824974599e-30
statweek36,-2.053871451292392,0.16382366154556668,-12.537086718215722,7.91972846713916e-30
statweek37,-2.0538775407319783,0.16382379078133197,-12.537113998744202,7.9178735011581e-30
statweek38,-2.0538775407319774,0.16382379078133194,-12.537113998744198,7.917873501158554e-30
statweek39,-2.0538775407319787,0.16382379078133202,-12.5371139987442,7.917873501158325e-30
statweek40,-2.05387754073198,0.16382379078133205,-12.537113998744205,7.9178735011581e-30
statweek41,-2.0538775407319796,0.16382379078133202,-12.537113998744205,7.9178735011581e-30
