term,estimate,std.error,statistic,p.value
(Intercept),8.17169838119881,0.08071717789099864,101.23865321745963,2.886510956830612e-253
cpuetuya_log,0.6732908601102938,0.017005337044086265,39.5929147634528,2.1637994874526827e-128
statweek27,-0.9991633205491477,0.1010979918254052,-9.883117384514309,2.216670885354597e-20
statweek28,-1.37692493434969,0.10389127090855449,-13.253519013754918,1.5919421195106841e-32
statweek29,-1.5439959035647641,0.10537884502885032,-14.651858284668553,6.580526910666925e-38
statweek30,-1.6235831020542617,0.10613915099828639,-15.296740993155998,1.9731663695826223e-40
statweek31,-1.6530370236212386,0.10642877632229103,-15.531861595546856,2.346907732607487e-41
statweek32,-1.667728825062385,0.10657489013563276,-15.648421714908139,8.152251745845512e-42
statweek33,-1.6726601498646863,0.10662417804507238,-15.687437695019005,5.720711142249892e-42
statweek34,-1.6741497184748326,0.1066390902046429,-15.699212317566666,5.140619828778329e-42
statweek35,-1.67445634197556,0.10664216121913851,-15.701635477311145,5.028736303181247e-42
statweek36,-1.674538650739083,0.10664298567045069,-15.702285904801657,4.999120735896179e-42
statweek37,-1.6745705528231885,0.10664330522902327,-15.702538000176775,4.987689121531786e-42
statweek38,-1.674570552823188,0.10664330522902324,-15.702538000176775,4.987689121531786e-42
statweek39,-1.6745705528231873,0.10664330522902321,-15.702538000176773,4.9876891215319996e-42
statweek40,-1.6745705528231902,0.10664330522902332,-15.702538000176784,4.9876891215314305e-042
statweek41,-1.6745705528231876,0.10664330522902324,-15.702538000176771,4.987689121532071e-42
