term,estimate,std.error,statistic,p.value
(Intercept),11.61605411459464,0.07815802465521697,148.62266754869015,0
catch108_log,0.2673360341239693,0.01264257169753372,21.145700457140418,8.138095749114048e-71
statweek25,-0.7512937677771763,0.11419394928838707,-6.579103117625331,1.228939860044957e-10
statweek26,-1.7223689436680858,0.1356923766217827,-12.693188715154347,4.463676685451023e-32
statweek27,-1.9768220013324922,0.14323934219021292,-13.8008313296175,8.820628617193856e-37
statweek28,-2.112581705458904,0.1475097403030437,-14.321642090338036,4.731438788164096e-39
statweek29,-2.1714620511160025,0.14940968728678622,-14.533609503833333,5.511771553110509e-40
statweek30,-2.241295262856048,0.1516984743014229,-14.774672409708113,4.710462036514407e-41
statweek31,-2.257090918113424,0.15222134127908668,-14.82769038261996,2.7368090637600726e-41
statweek32,-2.265274566871791,0.15249296996687298,-14.854944246701281,2.069669712721943e-41
statweek33,-2.2689134441176164,0.1526139101931407,-14.867015996419925,1.8286368230132076e-41
statweek34,-2.2706298610939357,0.15267099039344256,-14.872700145865187,1.7250508690150118e-41
statweek35,-2.271271964572876,0.15269234943284504,-14.874824920889662,1.6878510923447216e-41
statweek36,-2.2715112591203024,0.1527003101477392,-14.875616538843902,1.6741972935411887e-41
statweek37,-2.2716021223196003,0.15270333304393902,-14.875917093872255,1.6690422391507345e-41
statweek38,-2.2716399153064906,0.15270459038367007,-14.876042099317372,1.6669028384577426e-41
statweek39,-2.271643864844229,0.15270472178195774,-14.876055162772492,1.6666794224242567e-41
statweek40,-2.2716446792885745,0.15270474887795124,-14.876057856617013,1.6666333550158582e-41
statweek41,-2.2716448561128586,0.15270475476077217,-14.876058441478301,1.6666233534766455e-41
