term,estimate,std.error,statistic,p.value
(Intercept),11.75214428799328,0.08300223234746094,141.58829173168354,0
cpue108_log,0.7092375898396542,0.039450812526982126,17.977768882569297,9.452999960767562e-56
statweek25,-1.6788829301822399,0.14934914663232743,-11.241329247868876,3.2499442644541356e-26
statweek26,-2.504179733467729,0.18162236889315012,-13.787837636568643,1.0039152959129571e-36
statweek27,-3.057734842787609,0.20618620471350904,-14.829968120497007,2.673661160137811e-41
statweek28,-3.362553685029783,0.22038125851146434,-15.257893106436095,3.255101657689339e-43
statweek29,-3.561185703201836,0.22983272932868615,-15.494684824061537,2.786728830539961e-44
statweek30,-3.6857872184731084,0.23583249883883856,-15.628835027490735,6.885386416220724e-45
statweek31,-3.7511448274439525,0.2389997186456138,-15.695185118632333,3.4435160515747493e-45
statweek32,-3.7871362908576303,0.24074950878436818,-15.730608589734029,2.377798712140995e-45
statweek33,-3.800981297080318,0.24142365265222987,-15.744030277578565,2.066374042678951e-45
statweek34,-3.807362529801068,0.241734561986051,-15.750178619558618,1.9376505975834286e-45
statweek35,-3.8098641230388917,0.24185647883806982,-15.752582446177554,1.8895280336601653e-45
statweek36,-3.8109141875178065,0.24190765998791924,-15.753590389440838,1.869706553168521e-45
statweek37,-3.811253411557183,0.24192419479267435,-15.753915869487026,1.8633503327421234e-45
statweek38,-3.8115222362591203,0.2419372983635962,-15.75417375509816,1.8583294650291242e-45
statweek39,-3.8115445111097377,0.2419383841368513,-15.754195121654428,1.857914078091081e-45
statweek40,-3.8115785767462955,0.24194004464722543,-15.754227797651218,1.857279003695191e-45
statweek41,-3.811578576746295,0.2419400446472254,-15.754227797651218,1.857279003695191e-45
