term,estimate,std.error,statistic,p.value
(Intercept),10.940283833754911,0.09784228762054176,111.8154951178597,0
catch10641tah_log,0.5012735773923029,0.017388865213243968,28.827273732072836,2.883782942660109e-111
statweek25,-2.0426724115207477,0.15536939427388569,-13.147199427964031,1.929743124286346e-34
statweek26,-3.5134653257622133,0.18431863304872317,-19.061910712160373,2.6366493212643786e-62
statweek27,-3.9826884911782763,0.1954635342255,-20.375608713713202,7.416524628585059e-69
statweek28,-4.130405694258252,0.1991184151785691,-20.743464086704943,1.0593132529440521e-70
statweek29,-4.191170092597652,0.20064053707198504,-20.88894972950536,1.969044677542041e-71
statweek30,-4.216235209963811,0.20127148509750312,-20.94800069628003,9.94251674156766e-72
statweek31,-4.23075684213473,0.20163784088238657,-20.98195866222596,6.711260455952945e-72
statweek32,-4.234209478186877,0.2017250321456413,-20.990005222206953,6.114395717792011e-72
statweek33,-4.237261246268244,0.20180212789353386,-20.997108853598043,5.631731145687895e-72
statweek34,-4.238305002749527,0.20182850193280719,-20.99953654791802,5.47566735744455e-72
statweek35,-4.2387329320753215,0.20183931589645174,-21.00053160232613,5.412956494873966e-72
statweek36,-4.238818925797522,0.20184148905773708,-21.00073154228961,5.400442655331402e-72
statweek37,-4.238888901147009,0.20184325743139797,-21.00089423392165,5.390281456075993e-72
statweek38,-4.238899511005055,0.20184352555835042,-21.000918901308246,5.388742479357519e-72
statweek39,-4.2389018714912154,0.20184358521140255,-21.000924389306533,5.388400147668053e-72
statweek40,-4.238901871491217,0.2018435852114026,-21.000924389306537,5.388400147667746e-72
statweek41,-4.238901871491221,0.20184358521140283,-21.00092438930653,5.38840014766836e-72
