term,estimate,std.error,statistic,p.value
(Intercept),10.942435910314696,0.09068090230854832,120.66968492530287,0
cpue108tah_log,0.855837031180027,0.025070354094138773,34.13741297655282,4.606641679015319e-131
statweek25,-1.7098111295017435,0.1375330485252065,-12.432001964883199,5.389186951498464e-31
statweek26,-2.6513097855710956,0.1497955146103223,-17.69952720192061,1.9107426176586977e-54
statweek27,-3.2164847503528273,0.1590108337971782,-20.22808555582775,1.9948418078556316e-66
statweek28,-3.493226592558669,0.16394455849511164,-21.307365274113856,1.3684828334165456e-71
statweek29,-3.637216736079428,0.1666098525350648,-21.830742184433166,4.252368979121017e-74
statweek30,-3.7084576514892333,0.167952071711345,-22.080451962884187,2.704149923729852e-75
statweek31,-3.7281474372892993,0.16832571425466147,-22.148412996774525,1.2775360947675518e-75
statweek32,-3.7359774979987335,0.1684746196054269,-22.17531344928106,9.494527346694882e-76
statweek33,-3.739244054998326,0.16853679355960727,-22.18651474270423,8.390739088808341e-76
statweek34,-3.7401143014414324,0.1685533626747668,-22.189496798460162,8.119161493471314e-76
statweek35,-3.740350683511689,0.16855786367151096,-22.190306652206754,8.04693751471032e-76
statweek36,-3.740490123195702,0.16856051884654777,-22.190784347317578,8.004637572992317e-76
statweek37,-3.7405118299908793,0.16856093218696805,-22.190858708837098,7.998072885760221e-76
statweek38,-3.7405501711182993,0.1685616622814408,-22.19099005367454,7.986490821892792e-76
statweek39,-3.740552450517856,0.16856170568606532,-22.19099786213827,7.985802795491023e-76
statweek40,-3.7405559683222895,0.16856177267258726,-22.191009912952854,7.984741079571994e-76
statweek41,-3.7405559683222878,0.1685617726725873,-22.19100991295284,7.984741079572902e-76
