term,estimate,std.error,statistic,p.value
(Intercept),10.035912169133407,0.13324941796995746,75.31674300743373,4.0362755928591903e-199
catch108tuya_log,0.4164983446950504,0.027842754845355512,14.958948818404263,2.5221900760138834e-38
statweek25,-0.9905594043769983,0.1975337902132824,-5.014632703131274,9.031535684297994e-7
statweek26,-2.473763574120283,0.2489618284423088,-9.936316702034187,2.4421322689027545e-20
statweek27,-2.9253136408681244,0.2699572063088932,-10.836212453320814,2.3066146828952113e-23
statweek28,-3.042858776060173,0.2757026276329561,-11.036742022318125,4.7123643374265115e-24
statweek29,-3.0876356957567803,0.2779184500433791,-11.109862246550541,2.6328721125751824e-24
statweek30,-3.099648974202521,0.278515411014445,-11.12918298816061,2.256915425912016e-24
statweek31,-3.1024204365772388,0.27865327688107366,-11.133622655732557,2.1783741532915677e-24
statweek32,-3.103856796178022,0.2787247499379011,-11.135921000447757,2.1387895892461436e-24
statweek33,-3.1046013043595835,0.27876180236665593,-11.13711160568583,2.118566082612555e-24
statweek34,-3.105142132608949,0.27878872060569276,-11.137976191657817,2.1039997179488335e-24
statweek35,-3.1054566102511916,0.27880437382632745,-11.138478810901438,2.0955775629741486e-24
statweek36,-3.105617619110387,0.2788123883648296,-11.138736113284345,2.0912790634301975e-24
statweek37,-3.1056781581283075,0.2788154018636103,-11.13883285274007,2.0896652031224763e-24
statweek38,-3.105698317450375,0.2788164053560059,-11.138865066009561,2.089128079000633e-24
statweek39,-3.1057073226253946,0.2788168536172879,-11.13887945557401,2.0888881917816912e-24
statweek40,-3.1057073226253946,0.2788168536172879,-11.13887945557401,2.0888881917816912e-24
statweek41,-3.1057073226253995,0.2788168536172883,-11.138879455574012,2.0888881917816607e-24
