term,estimate,std.error,statistic,p.value
(Intercept),10.286267860470344,0.09566934995608269,107.51894797228462,1.560044231639634e-244
cpue108tuya_log,0.7680269928005821,0.029110201869206178,26.383430669817123,1.0509896023399267e-80
statweek25,-1.1824868093449226,0.14248758438103828,-8.298876105462867,3.438065087475827e-15
statweek26,-1.9379366006881538,0.15391314025502856,-12.591105590315825,1.4714198125681732e-29
statweek27,-2.439796700569093,0.16384593525025604,-14.890797851302082,4.5519581664848375e-38
statweek28,-2.6545743443824676,0.16857450063791005,-15.747187945609676,2.661497214673818e-41
statweek29,-2.760630616630398,0.17100417634616175,-16.143644416274874,8.357475817174176e-43
statweek30,-2.801707559064892,0.17196124398324905,-16.292668593033728,2.2717604090071664e-43
statweek31,-2.8109464069171177,0.17217770999470997,-16.325843844731597,1.6997307161786256e-43
statweek32,-2.815873159026931,0.17229332347070608,-16.3434839046778,1.4567533769984798e-43
statweek33,-2.819814559535779,0.17238590403939305,-16.357570389812178,1.2879078251244666e-43
statweek34,-2.8218080349628205,0.17243275965181548,-16.36468638941203,1.210199031227339e-43
statweek35,-2.8227309324647023,0.17245445878137575,-16.367978841551086,1.1758479968679588e-43
statweek36,-2.823341923378726,0.17246882677683562,-16.370157878049245,1.15365124322525e-43
statweek37,-2.8235922218323406,0.17247471332009406,-16.37105038459791,1.1446810892483269e-43
statweek38,-2.823629166369259,0.1724755822124694,-16.37118211255483,1.1433630724242694e-43
statweek39,-2.8236462953079053,0.1724759850674803,-16.37124318613498,1.1427525096212995e-43
statweek40,-2.82365244301576,0.17247612965560946,-16.371265105808373,1.1425334544638787e-43
statweek41,-2.823652443015759,0.17247612965560943,-16.37126510580837,1.14253345446396e-43
